,TYPE,SLOPE
0,SAME,0.22746827996698316
1,SAME,0.22867203769621297
2,SAME,0.19549403601603824
3,SAME,0.15617426281089117
4,SAME,0.18421688444718046
5,SAME,0.20638830469697136
6,SAME,0.13361033854635754
7,SAME,0.16542761307160356
8,SAME,0.17410717351148103
9,SAME,0.18173227416430737
10,SAME,0.2699949344830616
11,SAME,0.27264548160906743
12,SAME,0.18847846195316842
13,SAME,0.17749226482676086
14,SAME,0.16132465247276456
15,SAME,0.15342774776378526
16,SAME,0.14593142396761039
17,SAME,0.16910529284387418
18,SAME,0.23187599596285904
19,SAME,0.21392090946891937
20,SAME,0.16866100892161132
21,SAME,0.12834870434692097
22,SAME,0.19260535517111904
23,SAME,0.19764290919972957
24,SAME,0.09020553553036952
25,SAME,0.17997594707121012
26,SAME,0.17672829199463622
27,SAME,0.23253621709846944
28,SAME,0.1670707400021306
29,SAME,0.17908051193721883
30,SAME,0.11693012641163154
31,SAME,0.18554685571988816
32,SAME,0.15141797894509182
33,SAME,0.17769915385426654
34,SAME,0.1739089000560027
35,SAME,0.21114135958957517
36,SAME,0.1947709793804462
37,SAME,0.20004906155296648
38,SAME,0.17506167816027943
39,SAME,0.19780512978732634
40,SAME,0.1649259716984318
41,SAME,0.20971020558908898
42,SAME,0.17605988348100007
43,SAME,0.15671815883813345
44,SAME,0.1552258771273805
45,SAME,0.14688841442008335
46,SAME,0.15607096181225782
47,SAME,0.22176225722769743
48,SAME,0.1349059666718645
49,SAME,0.15492182997054568
50,SAME,0.13790197583954797
51,SAME,0.18999842028041347
52,SAME,0.1963813112760855
53,SAME,0.14273150284179298
54,SAME,0.17361874487692652
55,SAME,0.1833929429021673
56,SAME,0.19762742816595016
57,SAME,0.18448797834046052
58,SAME,0.15085606597492518
59,SAME,0.18588711140338746
60,SAME,0.2571209310533479
61,SAME,0.2029955677017706
62,SAME,0.16321780962777166
63,SAME,0.21239259905977423
64,SAME,0.17127418040921386
65,SAME,0.16093095159783874
66,SAME,0.1866876169700837
67,SAME,0.201758030033931
68,SAME,0.16822656980639583
69,SAME,0.19505270912976616
70,SAME,0.15685699242855491
71,SAME,0.1824552245397767
72,SAME,0.10785449068249256
73,SAME,0.15992472900175464
74,SAME,0.15140586596614156
75,SAME,0.2136118438631475
76,SAME,0.24917566507908484
77,SAME,0.18395047725612787
78,SAME,0.12342161030590214
79,SAME,0.22776485923820144
80,SAME,0.13989871072632304
81,SAME,0.15900936598941587
82,SAME,0.16081691229610603
83,SAME,0.22289187810453026
84,SAME,0.10380844152673402
85,SAME,0.18046042011440172
86,SAME,0.12420967962705894
87,SAME,0.1984861712489009
88,SAME,0.21053846802240328
89,SAME,0.23148426444727097
90,SAME,0.09871536742600466
